Company,Category,Tier,Funding Potential,Strategic Fit,Decision Maker 1,Title 1,LinkedIn 1,Decision Maker 2,Title 2,LinkedIn 2,Decision Maker 3,Title 3,LinkedIn 3,Value Proposition,Priority Score,Notes
CrowdStrike,Cybersecurity Vendor,Platinum,$250000,95,George Kurtz,CEO,/in/george-kurtz,Shawn Henry,CSO,/in/shawn-henry,Michael Sentonas,CTO,/in/michael-sentonas,"macOS-native AI security integration with Falcon platform, enterprise customer referrals",98,"Leading AI-powered endpoint security, strong macOS presence"
SentinelOne,Cybersecurity Vendor,Gold,$150000,90,Tomer Weingarten,CEO,/in/tomer-weingarten,Ric Smith,CPO,/in/ricsmith,Keenan Crockett,VP Eng,/in/keenancrockett,"Autonomous threat detection synergy, AI model enhancement",95,"AI-first security company, growing macOS market"
OpenAI,AI/ML Platform,Platinum,$200000,85,Sam Altman,CEO,/in/sam-altman,Mira Murati,CTO,/in/mira-murati,Peter Welinder,VP Research,/in/peter-welinder,"GPT-5 cybersecurity showcase, enterprise AI safety validation",92,"Strategic AI partnership, cybersecurity use case expansion"
Rapid7,Cybersecurity Vendor,Gold,$100000,88,Corey Thomas,CEO,/in/corey-thomas,Lee Weiner,CPO,/in/lee-weiner,Tim Adams,CTO,/in/tim-adams,"Penetration testing automation, vulnerability management integration",90,"Strong pentest focus, cloud-native approach"
Apple,Hardware/OEM,Platinum,$200000,95,Tim Cook,CEO,/in/tim-cook,Craig Federighi,SVP Software,/in/craig-federighi,Ivan Krstić,Head of Security,/in/ivan-krstic,"Enterprise macOS security research, platform innovation showcase",88,"Strategic but challenging to reach, high impact potential"
HackerOne,Bug Bounty Platform,Silver,$75000,92,Marten Mickos,CEO,/in/marten-mickos,Alex Rice,Co-Founder,/in/alex-rice,Chris Evans,CPO,/in/chris-evans-uk,"Revolutionary autonomous bug bounty hunting, researcher productivity",87,"Perfect fit for autonomous hunting features"
Anthropic,AI/ML Platform,Gold,$125000,83,Dario Amodei,CEO,/in/dario-amodei,Tom Brown,Co-Founder,/in/tom-brown-ai,Chris Olah,Co-Founder,/in/chris-olah,"Claude integration for security analysis, AI safety research",85,"AI safety focus aligns with security applications"
AWS,Cloud Provider,Gold,$100000,80,Andy Jassy,CEO,/in/andy-jassy,Peter DeSantis,VP Infrastructure,/in/peter-desantis,Steve Schmidt,CISO,/in/steve-schmidt-aws,"Security tools marketplace, enterprise macOS workload protection",83,"Large enterprise presence, security marketplace"
Tenable,Cybersecurity Vendor,Silver,$75000,85,Amit Yoran,CEO,/in/amit-yoran,Steve Vintz,CPO,/in/steve-vintz,Mark Thurmond,CTO,/in/mark-thurmond,"Vulnerability scanning automation, compliance reporting integration",82,"Strong vulnerability management focus"
Bugcrowd,Bug Bounty Platform,Silver,$50000,88,Casey Ellis,CEO,/in/casey-ellis,David Baker,CTO,/in/david-baker-bugcrowd,Ashish Gupta,CEO,/in/ashish-gupta-bugcrowd,"Platform integration, researcher tool enhancement",80,"Growing bug bounty platform, innovation focused"
